themes_name,avg_parts
Modular Buildings,2350.583
Mosaic,1843.25
Sculptures,1716.696
Ultimate Collector Series,1680.333
FIRST LEGO League,1387.0
Order of the Phoenix,904.0
The Two Towers,869.2
Williams F1,787.5
Lamborghini,770.0
eLAB,713.0
Mindstorms,708.667
Model Team,683.188
Model,628.591
Star Wars Episode 4/5/6,592.527
LEGO Ideas and CUUSOO,592.235
Trains,580.6
Avatar,562.0
Ghostbusters,552.0
The Return of the King,545.333
Master Building Academy,539.0
Minecraft,508.926
Educational and Dacta,473.242
My Own Creation,454.667
Temple of Doom,448.0
Battle Vehicles,430.333
Agents,429.769
Ultra Agents,420.467
Ferrari,420.156
Goblet of Fire,417.8
Universal Building Set,417.324
Jurassic World,404.571
Vikings,398.286
Angry Birds,395.5
Skylines,395.0
The LEGO Movie,392.069
Basic Set,390.658
Track System,385.0
Pirates of the Caribbean,384.588
Rahi,373.2
Monster Fighters,369.133
Discovery,364.75
Galaxy Squad,364.0
Playsets,361.923
Speed Racer,360.25
RC Train,357.864
Learning,354.167
Unitron,349.25
Kingdom of the Crystal Skull,347.25
Classic,343.0
Star Wars Rogue One,340.786
Teenage Mutant Ninja Turtles,335.048
The Fellowship of the Ring,329.4
Speed Champions,327.913
Star Wars Clone Wars,325.074
Star Wars Rebels,323.36
Farm,323.278
Town,323.014
Building,318.536
Dino,317.714
An Unexpected Journey,314.222
Mars Mission,313.526
SpongeBob SquarePants,312.357
Arctic Technic,312.25
Raiders of the Lost Ark,311.8
Prince of Persia,310.667
The Lone Ranger,310.25
Avengers,310.037
Elves,308.233
Off-Road,307.477
Hobby Sets,305.167
Scooby-Doo,304.833
The Desolation of Smaug,303.5
Competition,302.647
Architecture,300.644
Classic Castle,298.429
Harry Potter,297.038
World Racers,296.25
Pirates II,295.455
Last Crusade,294.0
The Battle of the Five Armies,293.333
Dino 2010,292.0
Inventor,291.0
Blacktron I,290.571
Planet Series 3,290.0
Star Wars Episode 2,289.143
Kingdoms,287.75
Batman,280.495
Vehicles,279.0
Factory,277.293
Fantasy Era,276.214
Aquaraiders II,274.333
Creature,270.333
Construction,269.361
Guardians of the Galaxy,268.0
Star Wars Episode 3,264.119
Divers,262.444
Traffic,261.209
Jungle Rescue,259.167
Pirates III,254.778
Star Wars Episode 1,253.529
Expert Builder,252.275
RCX,250.483
9V,250.17
RoboForce,250.0
Robot,249.8
Dark Forest,249.667
Spybiotics,246.75
Space Police III,246.0
Dino Attack,245.2
Freestyle,242.557
Mission Deep Freeze,240.125
Ferries,240.067
Advent,239.333
Fusion,238.0
Marvel,230.867
Game,230.236
Harbor,229.261
Atlantis,228.043
Chamber of Secrets,227.3
Star Wars Other,226.792
Alien Conquest,226.6
Legends of Chima,221.095
Designer Sets,220.071
Disney,219.579
Star Wars Episode 7,219.263
Imperial Armada,219.0
Prisoner of Azkaban,217.727
Exo-Force,215.83
Disney Princess,214.963
Imperial Soldiers,214.333
Ninjago,213.895
Space Police I,211.333
Launch Command,208.333
Black Falcons,208.0
Pharaoh's Quest,206.889
Basic,205.811
Cargo,205.75
Islanders,205.0
Toy Story,204.533
Hydronauts,203.4
Other,199.378
Cowboys,197.231
Super Heroes,197.043
Time Cruisers,193.889
World City,193.143
Creator,191.787
Power Miners,189.826
Coast Guard,188.875
Riding Cycle,188.214
Spider-Man,186.438
Radio Control,185.462
Airport,185.198
Exploriens,183.556
Bricktober,180.625
X-Men,179.667
Stingrays,179.0
Warriors,178.294
