year,avg_parts
2017,260.821
2016,253.077
2006,246.834
2008,231.599
2007,227.595
2010,210.426
1990,201.753
2015,201.669
1996,201.59
2005,198.703
2009,197.291
2013,181.344
1995,179.031
1960,175.333
2014,169.715
1991,164.449
2011,160.091
2003,159.68
1975,155.226
1976,153.029
2012,149.766
1993,148.414
1978,146.616
1988,144.162
1998,141.126
2004,138.849
1997,130.573
1994,127.625
1968,127.16
1980,126.636
1985,122.036
1992,119.6
1974,116.769
1983,116.07
2002,115.7
1986,113.797
1965,107.1
1999,105.59
1979,105.354
1973,104.896
2000,104.367
2001,104.366
1972,102.789
1989,101.4
1967,98.571
1984,95.039
1981,92.506
1977,91.5
1970,84.793
1964,82.636
1962,81.75
1961,70.588
1987,70.0
1982,69.329
1971,66.978
1969,64.58
1958,44.452
1957,42.619
1966,40.629
1955,36.857
1963,33.333
1956,18.5
1953,16.5
1959,16.25
1954,12.357
1950,10.143
